gene,name
B9J08_000001,B9J08_000001
B9J08_000002,SIT1_ENB1
B9J08_000003,ZRT1_ZRT2
B9J08_000004,ZRT1
B9J08_000005,B9J08_000005
B9J08_000006,B9J08_000006
B9J08_000007,CSR1
B9J08_000008,FRE7
B9J08_000009,HSX11
B9J08_000010,CAT2
B9J08_000011,ATG11
B9J08_000012,PRS4
B9J08_000013,ILV3
B9J08_000014,B9J08_000014
B9J08_000015,LYS21
B9J08_000016,SYG1
B9J08_000017,LDH1
B9J08_000018,NEO1
B9J08_000019,B9J08_000019
B9J08_000020,ATP1
B9J08_000021,B9J08_000021
B9J08_000022,RMD6
B9J08_000023,APE2
B9J08_000024,B9J08_000024
B9J08_000025,ESS1
B9J08_000026,URA6
B9J08_000027,YIR035C
B9J08_000028,PAN3
B9J08_000029,PCL5
B9J08_000030,B9J08_000030
B9J08_000031,NAP1
B9J08_000032,PXA1
B9J08_000033,DAL5
B9J08_000034,OAC1
B9J08_000035,B9J08_000035
B9J08_000036,B9J08_000036
B9J08_000037,CYM1
B9J08_000038,MRPL39
B9J08_000039,ERV25
B9J08_000040,B9J08_000040
B9J08_000041,RAD33
B9J08_000042,CHA1
B9J08_000043,YML020W
B9J08_000044,DOT1
B9J08_000045,ISW2
B9J08_000046,UNG1
B9J08_000047,OST6
B9J08_000048,YML018C
B9J08_000049,KRE9
B9J08_000050,KRE9
B9J08_000051,MGM101
B9J08_000052,B9J08_000052
B9J08_000053,TOM20
B9J08_000054,EXG2
B9J08_000055,HOM6
B9J08_000056,IML1
B9J08_000057,SNO1
B9J08_000058,SNZ1
B9J08_000059,PEX22
B9J08_000060,LTE1
B9J08_000061,SLX9
B9J08_000062,FHL1
B9J08_000063,PRE2
B9J08_000064,RPL11_RPL11B
B9J08_000065,B9J08_000065
B9J08_000066,ASR1
B9J08_000067,TWF1
B9J08_000068,B9J08_000068
B9J08_000069,B9J08_000069
B9J08_000070,B9J08_000070
B9J08_000071,LSP1_PIL1
B9J08_000072,SYM1
B9J08_000073,SYM1
B9J08_000074,RTS1
B9J08_000075,IMH3_IMD4
B9J08_000076,SCP1
B9J08_000077,MAK16
B9J08_000078,RTA2_RSB1
B9J08_000079,EFH1_SOK2
B9J08_000080,AVT1
B9J08_000081,NAB6
B9J08_000082,GSP1
B9J08_000083,YHC1
B9J08_000084,ATP14
B9J08_000085,B9J08_000085
B9J08_000086,B9J08_000086
B9J08_000087,CDC46_MCM5
B9J08_000088,PAC10
B9J08_000089,DSC2
B9J08_000090,RPL18_RPL18A
B9J08_000091,RPS19A
B9J08_000092,DYN1
B9J08_000093,SAL1
B9J08_000094,PMS1
B9J08_000095,RHA1_UPC2
B9J08_000096,ECM22_UPC2
B9J08_000097,YNL092W
B9J08_000098,VPS21
B9J08_000099,B9J08_000099
B9J08_000100,PTP1
B9J08_000101,B9J08_000101
B9J08_000102,SSB1_SSB2
B9J08_000103,RIO2
B9J08_000104,B9J08_000104
B9J08_000105,DCP2
B9J08_000106,ATP10
B9J08_000107,RPS20
B9J08_000108,PTC5
B9J08_000109,SKI2
B9J08_000110,B9J08_000110
B9J08_000111,AFG2
B9J08_000112,PEX19
B9J08_000113,UBC9
B9J08_000114,FBP26
B9J08_000115,SSY5
B9J08_000116,PGA30
B9J08_000117,PGA31
B9J08_000118,SYO1
B9J08_000119,ECM19
B9J08_000120,TSR1
B9J08_000121,REH1
B9J08_000122,APJ1
B9J08_000123,VAC14
B9J08_000124,B9J08_000124
B9J08_000125,B9J08_000125
B9J08_000126,B9J08_000126
B9J08_000127,ARH2_ARH1
B9J08_000128,LIH1
B9J08_000129,MDM35
B9J08_000130,ASK1
B9J08_000131,RGA2
B9J08_000132,ANP1
B9J08_000133,SMC2
B9J08_000134,PEX30
B9J08_000135,PRP18
B9J08_000136,RPL38
B9J08_000137,TFG2
B9J08_000138,ATE1
B9J08_000139,MNN42_YJR061W
B9J08_000140,COX13
B9J08_000141,CDC55
B9J08_000142,RPS26A
B9J08_000143,COX4
B9J08_000144,YPL113C
B9J08_000145,SLA1
B9J08_000146,IME4
B9J08_000147,MPO1
B9J08_000148,STT3
B9J08_000149,PIB2
B9J08_000150,SHH3
B9J08_000151,B9J08_000151
B9J08_000152,HAP42
B9J08_000153,HSK3
B9J08_000154,CMC1
B9J08_000155,SPC24
B9J08_000156,MRPL31
B9J08_000157,B9J08_000157
B9J08_000158,B9J08_000158
B9J08_000159,MSB2
B9J08_000160,SNU71
B9J08_000161,PRP39
B9J08_000162,RAD7
B9J08_000163,THG1
B9J08_000164,CDR1_PDR5
B9J08_000165,RUB1
B9J08_000166,CLF1
B9J08_000167,B9J08_000167
B9J08_000168,FRE9_FRE3
B9J08_000169,SRX1
B9J08_000170,FTH1
B9J08_000171,CRK1_SGV1
B9J08_000172,ITR1_ITR2
B9J08_000173,CYT1
B9J08_000174,CYS3
B9J08_000175,PMC1
B9J08_000176,COG7
B9J08_000177,DOA1_RPN14
B9J08_000178,B9J08_000178
B9J08_000179,RRT14
B9J08_000180,MET18
B9J08_000181,TAO3
B9J08_000182,TMA46
B9J08_000183,APP1
B9J08_000184,BZZ1
B9J08_000185,RPS7A
B9J08_000186,RKI1
B9J08_000187,ARF3
B9J08_000188,PRP43
B9J08_000189,ABC1_COQ8
B9J08_000190,BRE4
B9J08_000191,B9J08_000191
B9J08_000192,RPA135
B9J08_000193,MTQ2
B9J08_000194,MSL5
B9J08_000195,SAY1
B9J08_000196,NUP82
B9J08_000197,B9J08_000197
B9J08_000198,SKI8
B9J08_000199,CTF3
B9J08_000200,NAM2
B9J08_000201,CCM1
B9J08_000202,DPH6
B9J08_000203,RPS9B
B9J08_000204,COY1
B9J08_000205,B9J08_000205
B9J08_000206,SEC23
B9J08_000207,LOC1
B9J08_000208,PCP1
B9J08_000209,RPP1B
B9J08_000210,B9J08_000210
B9J08_000211,B9J08_000211
B9J08_000212,B9J08_000212
B9J08_000213,MGM1
B9J08_000214,NAN1
B9J08_000215,RPB10
B9J08_000216,CPS1
B9J08_000217,MRP7
B9J08_000218,B9J08_000218
B9J08_000219,B9J08_000219
B9J08_000220,SNG1
B9J08_000221,B9J08_000221
B9J08_000222,PEL1_PGS1
B9J08_000223,YLF2
B9J08_000224,YCL002C
B9J08_000225,SGF29
B9J08_000226,GBP2
B9J08_000227,YCL012C
B9J08_000228,BUD3
B9J08_000229,LEU2
