gene,name,code,unique_name
B9J08_000001,B9J08_000001,0001,0001
B9J08_000002,SIT1_ENB1,0002,SIT1_ENB1_0002
B9J08_000003,ZRT1_ZRT2,0003,ZRT1_ZRT2_0003
B9J08_000004,ZRT1,0004,ZRT1_0004
B9J08_000005,B9J08_000005,0005,0005
B9J08_000006,B9J08_000006,0006,0006
B9J08_000007,CSR1,0007,CSR1_0007
B9J08_000008,FRE7,0008,FRE7_0008
B9J08_000009,HSX11,0009,HSX11_0009
B9J08_000010,CAT2,0010,CAT2_0010
B9J08_000011,ATG11,0011,ATG11_0011
B9J08_000012,PRS4,0012,PRS4_0012
B9J08_000013,ILV3,0013,ILV3_0013
B9J08_000014,B9J08_000014,0014,0014
B9J08_000015,LYS21,0015,LYS21_0015
B9J08_000016,SYG1,0016,SYG1_0016
B9J08_000017,LDH1,0017,LDH1_0017
B9J08_000018,NEO1,0018,NEO1_0018
B9J08_000019,B9J08_000019,0019,0019
B9J08_000020,ATP1,0020,ATP1_0020
B9J08_000021,B9J08_000021,0021,0021
B9J08_000022,RMD6,0022,RMD6_0022
B9J08_000023,APE2,0023,APE2_0023
B9J08_000024,B9J08_000024,0024,0024
B9J08_000025,ESS1,0025,ESS1_0025
B9J08_000026,URA6,0026,URA6_0026
B9J08_000027,YIR035C,0027,YIR035C_0027
B9J08_000028,PAN3,0028,PAN3_0028
B9J08_000029,PCL5,0029,PCL5_0029
B9J08_000030,B9J08_000030,0030,0030
B9J08_000031,NAP1,0031,NAP1_0031
B9J08_000032,PXA1,0032,PXA1_0032
B9J08_000033,DAL5,0033,DAL5_0033
B9J08_000034,OAC1,0034,OAC1_0034
B9J08_000035,B9J08_000035,0035,0035
B9J08_000036,B9J08_000036,0036,0036
B9J08_000037,CYM1,0037,CYM1_0037
B9J08_000038,MRPL39,0038,MRPL39_0038
B9J08_000039,ERV25,0039,ERV25_0039
B9J08_000040,B9J08_000040,0040,0040
B9J08_000041,RAD33,0041,RAD33_0041
B9J08_000042,CHA1,0042,CHA1_0042
B9J08_000043,YML020W,0043,YML020W_0043
B9J08_000044,DOT1,0044,DOT1_0044
B9J08_000045,ISW2,0045,ISW2_0045
B9J08_000046,UNG1,0046,UNG1_0046
B9J08_000047,OST6,0047,OST6_0047
B9J08_000048,YML018C,0048,YML018C_0048
B9J08_000049,KRE9,0049,KRE9_0049
B9J08_000050,KRE9,0050,KRE9_0050
B9J08_000051,MGM101,0051,MGM101_0051
B9J08_000052,B9J08_000052,0052,0052
B9J08_000053,TOM20,0053,TOM20_0053
B9J08_000054,EXG2,0054,EXG2_0054
B9J08_000055,HOM6,0055,HOM6_0055
B9J08_000056,IML1,0056,IML1_0056
B9J08_000057,SNO1,0057,SNO1_0057
B9J08_000058,SNZ1,0058,SNZ1_0058
B9J08_000059,PEX22,0059,PEX22_0059
B9J08_000060,LTE1,0060,LTE1_0060
B9J08_000061,SLX9,0061,SLX9_0061
B9J08_000062,FHL1,0062,FHL1_0062
B9J08_000063,PRE2,0063,PRE2_0063
B9J08_000064,RPL11_RPL11B,0064,RPL11_RPL11B_0064
B9J08_000065,B9J08_000065,0065,0065
B9J08_000066,ASR1,0066,ASR1_0066
B9J08_000067,TWF1,0067,TWF1_0067
B9J08_000068,B9J08_000068,0068,0068
B9J08_000069,B9J08_000069,0069,0069
B9J08_000070,B9J08_000070,0070,0070
B9J08_000071,LSP1_PIL1,0071,LSP1_PIL1_0071
B9J08_000072,SYM1,0072,SYM1_0072
B9J08_000073,SYM1,0073,SYM1_0073
B9J08_000074,RTS1,0074,RTS1_0074
B9J08_000075,IMH3_IMD4,0075,IMH3_IMD4_0075
B9J08_000076,SCP1,0076,SCP1_0076
B9J08_000077,MAK16,0077,MAK16_0077
B9J08_000078,RTA2_RSB1,0078,RTA2_RSB1_0078
B9J08_000079,EFH1_SOK2,0079,EFH1_SOK2_0079
B9J08_000080,AVT1,0080,AVT1_0080
B9J08_000081,NAB6,0081,NAB6_0081
B9J08_000082,GSP1,0082,GSP1_0082
B9J08_000083,YHC1,0083,YHC1_0083
B9J08_000084,ATP14,0084,ATP14_0084
B9J08_000085,B9J08_000085,0085,0085
B9J08_000086,B9J08_000086,0086,0086
B9J08_000087,CDC46_MCM5,0087,CDC46_MCM5_0087
B9J08_000088,PAC10,0088,PAC10_0088
B9J08_000089,DSC2,0089,DSC2_0089
B9J08_000090,RPL18_RPL18A,0090,RPL18_RPL18A_0090
B9J08_000091,RPS19A,0091,RPS19A_0091
B9J08_000092,DYN1,0092,DYN1_0092
B9J08_000093,SAL1,0093,SAL1_0093
B9J08_000094,PMS1,0094,PMS1_0094
B9J08_000095,RHA1_UPC2,0095,RHA1_UPC2_0095
B9J08_000096,ECM22_UPC2,0096,ECM22_UPC2_0096
B9J08_000097,YNL092W,0097,YNL092W_0097
B9J08_000098,VPS21,0098,VPS21_0098
B9J08_000099,B9J08_000099,0099,0099
B9J08_000100,PTP1,0100,PTP1_0100
B9J08_000101,B9J08_000101,0101,0101
B9J08_000102,SSB1_SSB2,0102,SSB1_SSB2_0102
B9J08_000103,RIO2,0103,RIO2_0103
B9J08_000104,B9J08_000104,0104,0104
B9J08_000105,DCP2,0105,DCP2_0105
B9J08_000106,ATP10,0106,ATP10_0106
B9J08_000107,RPS20,0107,RPS20_0107
B9J08_000108,PTC5,0108,PTC5_0108
B9J08_000109,SKI2,0109,SKI2_0109
B9J08_000110,B9J08_000110,0110,0110
B9J08_000111,AFG2,0111,AFG2_0111
B9J08_000112,PEX19,0112,PEX19_0112
B9J08_000113,UBC9,0113,UBC9_0113
B9J08_000114,FBP26,0114,FBP26_0114
B9J08_000115,SSY5,0115,SSY5_0115
B9J08_000116,PGA30,0116,PGA30_0116
B9J08_000117,PGA31,0117,PGA31_0117
B9J08_000118,SYO1,0118,SYO1_0118
B9J08_000119,ECM19,0119,ECM19_0119
B9J08_000120,TSR1,0120,TSR1_0120
B9J08_000121,REH1,0121,REH1_0121
B9J08_000122,APJ1,0122,APJ1_0122
B9J08_000123,VAC14,0123,VAC14_0123
B9J08_000124,B9J08_000124,0124,0124
B9J08_000125,B9J08_000125,0125,0125
B9J08_000126,B9J08_000126,0126,0126
B9J08_000127,ARH2_ARH1,0127,ARH2_ARH1_0127
B9J08_000128,LIH1,0128,LIH1_0128
B9J08_000129,MDM35,0129,MDM35_0129
B9J08_000130,ASK1,0130,ASK1_0130
B9J08_000131,RGA2,0131,RGA2_0131
B9J08_000132,ANP1,0132,ANP1_0132
B9J08_000133,SMC2,0133,SMC2_0133
