Gene ID	Organism	Score	E-Value	Curated GO Functions	Curated GO Processes	Curated GO Components	Computed GO Components	Computed GO Functions	Computed GO Processes	# TM Domains	SignalP Peptide	PFam ID	Interpro ID	PFam Description	Interpro Description	Genomic Sequence ID	Gene Name or Symbol	Ortholog Group	Ortholog count	Paralog count	EC numbers from OrthoMCL	EC numbers
A1O5_00943	Cladophialophora psammophila CBS 110553	442	5E-147	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AMGX01000001	N/A	OG6_105688	1474	5	N/A	N/A
A1O5_02960	Cladophialophora psammophila CBS 110553	158	3E-39	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGX01000004	N/A	OG6_153020	278	1	N/A	N/A
A1O5_05365	Cladophialophora psammophila CBS 110553	150	8E-37	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGX01000007	N/A	OG6_105688	1474	5	N/A	N/A
A1O5_08329	Cladophialophora psammophila CBS 110553	188	5E-50	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGX01000013	N/A	OG6_105688	1474	5	N/A	N/A
A1O5_12941	Cladophialophora psammophila CBS 110553	158	2E-39	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGX01000039	N/A	OG6_153020	278	1	N/A	N/A
A1O7_02689	Cladophialophora yegresii CBS 114405	205	5E-56	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGW01000002	N/A	OG6_105688	1476	3	N/A	N/A
A1O7_03975	Cladophialophora yegresii CBS 114405	151	5E-37	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGW01000003	N/A	OG6_153020	279	0	N/A	N/A
A1O7_07174	Cladophialophora yegresii CBS 114405	164	2E-41	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGW01000005	N/A	OG6_105688	1476	3	N/A	N/A
A1O7_09024	Cladophialophora yegresii CBS 114405	427	7E-141	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGW01000006	N/A	OG6_105688	1476	3	N/A	N/A
A1O7_09283	Cladophialophora yegresii CBS 114405	446	4E-148	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AMGW01000007	N/A	OG6_105688	1476	3	N/A	N/A
A1O9_00046	Exophiala aquamarina CBS 119918	168	9E-43	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGV01000001	N/A	OG6_153020	278	1	N/A	N/A
