label	Feature
FOC4_g10009750-t38_1	SignalP5: SP(Sec/SPI)
FOXG_07525-t26_1	SignalP5: SP(Sec/SPI)
FVEG_13165-t26_1	SignalP5: SP(Sec/SPI)
HZS61_015858_t1	SignalP5: SP(Sec/SPI)
MUCCIDRAFT_115304_t1	SignalP5: SP(Sec/SPI)
P174DRAFT_443452-t37_1	SignalP5: SP(Sec/SPI)
PV06_11379-t43_1	SignalP5: SP(Sec/SPI)
TRICI_005539_t1	SignalP5: SP(Sec/SPI)
VDAG_JR2_Chr6g01080a-00001	SignalP5: SP(Sec/SPI)
MUCCIDRAFT_118043_t1	NetGPI: GPI-Anchored
CJJ09_001940_t1	NetGPI: GPI-Anchored
