Locus_id	Unique_rowname
DN100003|c0_g1	CNGA3_MOUSE DN100003|c0_g1
DN100006|c0_g1	CLAP1_XENTR DN100006|c0_g1
DN100009|c0_g2	DN100009|c0_g2
DN100011|c0_g1	TITIN_MOUSE DN100011|c0_g1
DN100011|c0_g2	TITIN_MOUSE DN100011|c0_g2
DN100012|c0_g1	ATP5L_MOUSE DN100012|c0_g1
DN100018|c0_g1	F16P2_RAT DN100018|c0_g1
DN100018|c0_g2	F16P2_RABIT DN100018|c0_g2
DN10002|c0_g1	DN10002|c0_g1
DN100022|c0_g1	NPT2B_BOVIN DN100022|c0_g1
DN100025|c0_g1	DN100025|c0_g1
DN100027|c0_g1	NMU_HUMAN DN100027|c0_g1
DN100029|c0_g1	TALDO_DROME DN100029|c0_g1
DN100030|c0_g1	DN100030|c0_g1
DN100031|c0_g1	DN100031|c0_g1
DN100033|c0_g1	DN100033|c0_g1
DN100034|c0_g1	DN100034|c0_g1
DN100036|c0_g1	AT5F1_DROME DN100036|c0_g1
DN100037|c0_g1	RBM10_RAT DN100037|c0_g1
DN100037|c0_g2	RBM5A_XENLA DN100037|c0_g2
DN100039|c0_g1	DN100039|c0_g1
DN100039|c0_g2	DN100039|c0_g2
DN100048|c0_g1	PDE9A_HUMAN DN100048|c0_g1
DN100050|c0_g1	DN100050|c0_g1
DN100053|c0_g1	AGT2_HUMAN DN100053|c0_g1
DN100054|c0_g1	TYRO_CHICK DN100054|c0_g1
DN100056|c0_g1	EMAL6_HUMAN DN100056|c0_g1
DN100057|c0_g1	DN100057|c0_g1
DN100063|c0_g1	DN100063|c0_g1
DN100071|c0_g1	TBB1_GADMO DN100071|c0_g1
DN100075|c0_g1	RM22_XENTR DN100075|c0_g1
DN100076|c0_g1	S22AD_HUMAN DN100076|c0_g1
DN100077|c0_g1	DN100077|c0_g1
DN100079|c0_g1	COE3_XENLA DN100079|c0_g1
DN100085|c0_g1	IF5A1_RABIT DN100085|c0_g1
DN100085|c0_g2	IF5A1_RABIT DN100085|c0_g2
DN100089|c0_g1	DN100089|c0_g1
DN100090|c0_g1	MDH_PYRAB DN100090|c0_g1
DN100101|c0_g1	MYSU_RABIT DN100101|c0_g1
DN100102|c0_g1	DN100102|c0_g1
DN100106|c0_g1	MIG15_CAEEL DN100106|c0_g1
DN100108|c0_g1	ATPG_BOVIN DN100108|c0_g1
DN100112|c0_g1	DN100112|c0_g1
DN100118|c0_g1	KI16B_HUMAN DN100118|c0_g1
DN100119|c0_g1	BAALC_PIG DN100119|c0_g1
DN100120|c0_g2	DN100120|c0_g2
DN100121|c0_g1	RM11_DROME DN100121|c0_g1
DN100123|c0_g1	ACTN_ANOGA DN100123|c0_g1
DN100123|c0_g2	ACTN1_HUMAN DN100123|c0_g2
DN100126|c0_g1	DN100126|c0_g1
DN100128|c0_g1	DN100128|c0_g1
DN100135|c0_g2	DN100135|c0_g2
DN100139|c0_g1	RS27A_CAEEL DN100139|c0_g1
DN100145|c0_g2	DYN3_MOUSE DN100145|c0_g2
DN100148|c0_g1	DN100148|c0_g1
DN100151|c0_g1	RRBP1_CANLF DN100151|c0_g1
DN100158|c0_g1	GBF1_HUMAN DN100158|c0_g1
DN100165|c0_g2	DN100165|c0_g2
DN100172|c0_g1	DN100172|c0_g1
DN100173|c0_g1	PAXB1_MOUSE DN100173|c0_g1
DN100178|c0_g1	DN100178|c0_g1
DN100185|c0_g1	DN100185|c0_g1
DN100185|c0_g2	DN100185|c0_g2
DN100186|c0_g1	DN100186|c0_g1
DN100187|c0_g1	DEPD7_DANRE DN100187|c0_g1
DN100188|c0_g1	DN100188|c0_g1
DN100190|c0_g1	DN100190|c0_g1
DN100191|c0_g1	DN100191|c0_g1
DN100198|c0_g1	ODO1_MACFA DN100198|c0_g1
DN100200|c0_g1	CIR1_CHICK DN100200|c0_g1
DN100202|c0_g1	POL3_DROME DN100202|c0_g1
DN100208|c0_g1	DN100208|c0_g1
DN100214|c0_g1	DN100214|c0_g1
DN100217|c0_g1	DDX18_HUMAN DN100217|c0_g1
DN100218|c0_g1	CO8G_RABIT DN100218|c0_g1
DN100222|c0_g1	DN100222|c0_g1
DN100234|c1_g1	DN100234|c1_g1
DN100235|c0_g1	TTL10_MOUSE DN100235|c0_g1
DN100236|c0_g1	CAC1H_RAT DN100236|c0_g1
DN100238|c0_g1	PI42B_RAT DN100238|c0_g1
DN100239|c0_g1	CBS_DICDI DN100239|c0_g1
DN100243|c0_g1	DN100243|c0_g1
DN100244|c0_g1	DN100244|c0_g1
DN10026|c0_g1	SPCS2_MOUSE DN10026|c0_g1
DN100262|c0_g1	DN100262|c0_g1
DN10027|c0_g1	CCG7_RAT DN10027|c0_g1
DN100273|c0_g1	DN100273|c0_g1
DN100276|c0_g1	RS12_DROME DN100276|c0_g1
DN100279|c0_g1	DN100279|c0_g1
DN100295|c0_g1	HNF4A_XENLA DN100295|c0_g1
DN100296|c0_g1	GNRR2_CLAGA DN100296|c0_g1
DN100298|c0_g1	CNN2_MOUSE DN100298|c0_g1
DN100303|c0_g1	DN100303|c0_g1
DN100305|c0_g1	DN100305|c0_g1
DN100305|c1_g1	TF29_SCHPO DN100305|c1_g1
DN100308|c0_g1	CEL2A_MOUSE DN100308|c0_g1
DN10032|c0_g1	AICDA_BOVIN DN10032|c0_g1
DN100320|c0_g1	MLRP1_ACRMI DN100320|c0_g1
DN100320|c0_g2	MLRP2_ACRMI DN100320|c0_g2
DN100326|c0_g1	C1GLT_CAEEL DN100326|c0_g1
DN100329|c0_g1	GPRL1_MOUSE DN100329|c0_g1
DN100333|c0_g1	LARG1_DANRE DN100333|c0_g1
DN100334|c0_g1	SNTG1_HUMAN DN100334|c0_g1
DN100336|c0_g1	DN100336|c0_g1
DN100338|c0_g1	ADT1_MAIZE DN100338|c0_g1
DN100342|c0_g1	ONEC_DROME DN100342|c0_g1
DN100354|c0_g1	Y531_METJA DN100354|c0_g1
DN100355|c0_g1	MYPH_ECHGR DN100355|c0_g1
DN100362|c0_g1	DN100362|c0_g1
DN100366|c0_g1	DN100366|c0_g1
DN100368|c0_g1	DN100368|c0_g1
DN100376|c0_g1	LORF2_HUMAN DN100376|c0_g1
DN100377|c0_g1	KCNA3_HUMAN DN100377|c0_g1
DN100385|c0_g1	CNTN5_DANRE DN100385|c0_g1
DN100407|c0_g1	BKRB2_RAT DN100407|c0_g1
DN100410|c0_g1	YTX2_XENLA DN100410|c0_g1
DN100411|c0_g1	PLSL_MOUSE DN100411|c0_g1
DN100416|c0_g2	MMP21_DANRE DN100416|c0_g2
DN100419|c0_g1	TF29_SCHPO DN100419|c0_g1
DN100420|c0_g1	PCCA_CAEBR DN100420|c0_g1
DN100420|c0_g2	PCCA_HUMAN DN100420|c0_g2
DN100423|c0_g1	YS88_CAEEL DN100423|c0_g1
DN100428|c0_g1	DN100428|c0_g1
DN100429|c0_g1	DMX1B_DANRE DN100429|c0_g1
DN100432|c0_g1	CDC42_RAT DN100432|c0_g1
DN100437|c0_g1	TITIN_HUMAN DN100437|c0_g1
DN100442|c0_g1	GFRA4_CHICK DN100442|c0_g1
DN100447|c1_g1	NDUS2_PONPY DN100447|c1_g1
DN100448|c0_g1	SRPK1_HUMAN DN100448|c0_g1
DN100451|c0_g1	AL4A1_MOUSE DN100451|c0_g1
DN100454|c0_g1	DN100454|c0_g1
DN100456|c0_g1	DN100456|c0_g1
DN100458|c0_g1	KCIP1_MOUSE DN100458|c0_g1
DN100464|c0_g1	SAFB2_MOUSE DN100464|c0_g1
DN100471|c0_g1	IMP4_BOVIN DN100471|c0_g1
DN100476|c0_g1	POL4_DROME DN100476|c0_g1
DN100477|c0_g1	NKX28_MOUSE DN100477|c0_g1
DN100479|c0_g1	CRA1B_DANRE DN100479|c0_g1
DN100484|c0_g1	UCRI_SAISC DN100484|c0_g1
DN100485|c0_g1	MTND_BACLD DN100485|c0_g1
DN100492|c0_g1	DN100492|c0_g1
DN100496|c0_g1	DN100496|c0_g1
DN100497|c0_g1	TRCB_XENLA DN100497|c0_g1
DN100507|c0_g1	DN100507|c0_g1
DN100507|c0_g2	DNAJ_BUCAT DN100507|c0_g2
DN100510|c0_g1	GRIP1_HUMAN DN100510|c0_g1
DN100518|c0_g1	CB1C_ARATH DN100518|c0_g1
DN100521|c0_g1	ORYA_ORYSJ DN100521|c0_g1
DN100532|c0_g1	CYCB_TAKRU DN100532|c0_g1
DN100533|c0_g1	DN100533|c0_g1
DN100543|c0_g1	VDAC_DROME DN100543|c0_g1
DN100546|c0_g1	SDK2_MOUSE DN100546|c0_g1
DN100547|c0_g1	GALE_BACSU DN100547|c0_g1
DN100553|c0_g1	DN100553|c0_g1
DN100563|c0_g1	DN100563|c0_g1
DN100570|c0_g1	DN100570|c0_g1
DN100571|c0_g1	RB87F_DROME DN100571|c0_g1
DN100578|c0_g1	CATC_SCHMA DN100578|c0_g1
DN100580|c0_g1	XPO1_HUMAN DN100580|c0_g1
DN100580|c0_g2	XPO1_RAT DN100580|c0_g2
DN100581|c0_g1	DN100581|c0_g1
DN100582|c0_g1	DN100582|c0_g1
DN100585|c0_g1	POL4_DROME DN100585|c0_g1
DN100594|c0_g1	DN100594|c0_g1
DN100597|c0_g1	DN100597|c0_g1
DN100606|c0_g1	NDUB8_BOVIN DN100606|c0_g1
DN100608|c0_g1	DN100608|c0_g1
DN100613|c0_g1	PCKG_DROME DN100613|c0_g1
DN100615|c0_g1	AMPN_CHICK DN100615|c0_g1
DN100619|c0_g1	DN100619|c0_g1
DN100621|c0_g1	NSUN7_MACFA DN100621|c0_g1
DN100622|c0_g1	DN100622|c0_g1
DN100623|c0_g1	RL13A_HUMAN DN100623|c0_g1
DN100629|c0_g1	DN100629|c0_g1
DN100635|c0_g1	PTPR2_RAT DN100635|c0_g1
DN100643|c0_g1	Y8359_ORYSI DN100643|c0_g1
DN100643|c0_g2	P23A_BRADN100643|c0_g2
DN100645|c0_g1	DN100645|c0_g1
DN100646|c0_g1	DN100646|c0_g1
DN100646|c0_g2	DN100646|c0_g2
DN100649|c0_g1	STX1A_CAEEL DN100649|c0_g1
DN100650|c0_g3	DN100650|c0_g3
DN100654|c0_g1	DNAJ1_CHLAE DN100654|c0_g1
DN100656|c0_g1	EHD1_RAT DN100656|c0_g1
DN100656|c0_g2	EHD4_MOUSE DN100656|c0_g2
DN100665|c0_g1	LIN1_NYCCO DN100665|c0_g1
DN100666|c0_g1	COX3_LYCSM DN100666|c0_g1
DN100670|c0_g1	DN100670|c0_g1
DN100676|c0_g1	SRP54_MOUSE DN100676|c0_g1
DN100677|c0_g1	COCA1_HUMAN DN100677|c0_g1
DN100679|c0_g1	DN100679|c0_g1
DN100683|c0_g1	DN100683|c0_g1
DN100686|c0_g1	DN100686|c0_g1
DN100692|c0_g1	NECAP_DROME DN100692|c0_g1
DN100695|c0_g1	DN100695|c0_g1
DN100711|c0_g1	DN100711|c0_g1
DN100719|c0_g1	DN100719|c0_g1
DN100730|c0_g1	DN100730|c0_g1
DN100732|c0_g2	DN100732|c0_g2
DN100734|c0_g1	DN100734|c0_g1
DN100739|c0_g1	DN100739|c0_g1
DN100741|c0_g1	SETMR_HUMAN DN100741|c0_g1
DN100757|c0_g1	GTD2B_HUMAN DN100757|c0_g1
DN100759|c0_g1	DN100759|c0_g1
DN100763|c0_g1	IF4E_XENLA DN100763|c0_g1
DN100766|c0_g1	DN100766|c0_g1
DN100767|c0_g1	DN100767|c0_g1
DN100769|c0_g1	DN100769|c0_g1
DN100770|c0_g1	TWF2_DANRE DN100770|c0_g1
DN100774|c0_g1	HMGCL_BOVIN DN100774|c0_g1
DN100775|c0_g1	DN100775|c0_g1
DN100777|c0_g1	DN100777|c0_g1
DN10078|c0_g1	EIF3H_BOMMO DN10078|c0_g1
DN100783|c0_g1	KHDR2_DANRE DN100783|c0_g1
DN100794|c0_g1	RM19_DROME DN100794|c0_g1
DN100800|c0_g1	LIGO1_HUMAN DN100800|c0_g1
DN100801|c0_g1	C560_CRIGR DN100801|c0_g1
DN100802|c0_g1	DN100802|c0_g1
DN100809|c0_g1	ICT1_BOVIN DN100809|c0_g1
DN100810|c0_g1	DN100810|c0_g1
DN100821|c0_g1	HNRPK_CHICK DN100821|c0_g1
DN100823|c0_g1	DN100823|c0_g1
DN100829|c0_g1	LIMC1_HUMAN DN100829|c0_g1
DN100831|c0_g1	DN100831|c0_g1
DN100833|c0_g1	CL4A1_GLORO DN100833|c0_g1
DN100835|c0_g1	DN100835|c0_g1
DN100838|c0_g1	DN100838|c0_g1
DN100847|c0_g1	DN100847|c0_g1
DN100851|c0_g1	DN100851|c0_g1
DN100851|c0_g2	SR140_PONAB DN100851|c0_g2
DN100855|c0_g1	DN100855|c0_g1
DN100857|c0_g1	CSRN1_PONAB DN100857|c0_g1
DN100865|c0_g3	DN100865|c0_g3
DN100867|c0_g1	DN100867|c0_g1
DN100883|c0_g1	UTP21_YEAST DN100883|c0_g1
DN100883|c0_g2	DN100883|c0_g2
DN100883|c0_g3	DN100883|c0_g3
DN100908|c0_g1	DN100908|c0_g1
DN100909|c0_g1	ZBED1_HUMAN DN100909|c0_g1
DN100911|c0_g3	YG31B_YEAST DN100911|c0_g3
DN100916|c0_g1	ABCA1_MOUSE DN100916|c0_g1
DN100918|c0_g1	DN100918|c0_g1
DN100929|c0_g1	DN100929|c0_g1
DN100932|c0_g1	RNPS1_DANRE DN100932|c0_g1
DN100933|c0_g1	GPR4_HUMAN DN100933|c0_g1
DN100940|c0_g1	MRT4_BOVIN DN100940|c0_g1
DN100942|c0_g1	DN100942|c0_g1
DN100949|c0_g1	DN100949|c0_g1
DN100955|c0_g1	LIPA4_HUMAN DN100955|c0_g1
DN100958|c0_g1	DN100958|c0_g1
DN100967|c0_g1	DN100967|c0_g1
DN100970|c0_g1	RGPS2_MACFA DN100970|c0_g1
DN100971|c0_g1	KCNH7_RAT DN100971|c0_g1
DN100976|c0_g1	DN100976|c0_g1
DN100980|c0_g2	PYGL_BOVIN DN100980|c0_g2
DN100980|c0_g3	PYGM_MOUSE DN100980|c0_g3
DN100984|c0_g1	DN100984|c0_g1
DN100985|c0_g1	TADBP_PONAB DN100985|c0_g1
DN100987|c0_g1	FBXL3_HUMAN DN100987|c0_g1
DN100994|c0_g1	DN100994|c0_g1
DN100996|c0_g1	PABP1_PONAB DN100996|c0_g1
DN100998|c0_g1	CYB5_DROME DN100998|c0_g1
DN10100|c0_g1	DN10100|c0_g1
DN101003|c0_g1	DNAI1_BOVIN DN101003|c0_g1
DN101008|c0_g1	GSTM3_MACFU DN101008|c0_g1
DN101009|c0_g1	DN101009|c0_g1
DN101013|c0_g1	ATG4D_HUMAN DN101013|c0_g1
DN101014|c0_g1	CAN9_RAT DN101014|c0_g1
DN101016|c0_g1	DN101016|c0_g1
DN101017|c0_g1	DN101017|c0_g1
DN101020|c0_g1	HTS_DROME DN101020|c0_g1
DN101023|c0_g1	DN101023|c0_g1
DN101024|c0_g1	PDZD4_MOUSE DN101024|c0_g1
DN101025|c0_g1	DN101025|c0_g1
DN101028|c0_g1	DN101028|c0_g1
DN101029|c0_g1	FA78B_MOUSE DN101029|c0_g1
DN10103|c0_g1	DNM3B_HUMAN DN10103|c0_g1
DN101034|c0_g1	DN101034|c0_g1
DN101035|c0_g1	DN101035|c0_g1
DN101039|c0_g1	DJ1B_ARATH DN101039|c0_g1
DN101040|c0_g1	DN101040|c0_g1
DN101045|c0_g1	SCN2A_HUMAN DN101045|c0_g1
DN101051|c0_g1	DN101051|c0_g1
DN101052|c0_g1	DN101052|c0_g1
DN101058|c0_g1	DN101058|c0_g1
DN101059|c0_g1	TEKT4_HUMAN DN101059|c0_g1
DN101064|c0_g1	HPPD_RAT DN101064|c0_g1
DN101070|c0_g1	TEKT1_HUMAN DN101070|c0_g1
DN101072|c0_g1	RCN1_MOUSE DN101072|c0_g1
DN101074|c0_g1	DN101074|c0_g1
DN10108|c0_g1	OTOP_DROME DN10108|c0_g1
DN101092|c0_g1	DN101092|c0_g1
DN101102|c0_g1	SGSM3_DANRE DN101102|c0_g1
DN101103|c0_g1	NMD3B_RAT DN101103|c0_g1
DN101116|c0_g1	SACS_MOUSE DN101116|c0_g1
DN101122|c0_g1	MCPT2_RAT DN101122|c0_g1
DN101122|c0_g2	CEL2A_RAT DN101122|c0_g2
DN101123|c0_g1	NECB_HYDVU DN101123|c0_g1
DN101125|c0_g1	DN101125|c0_g1
DN101126|c0_g1	DN101126|c0_g1
DN101128|c0_g1	CATLL_FASHE DN101128|c0_g1
DN101135|c0_g1	MED9_XENLA DN101135|c0_g1
DN101137|c0_g1	AASS_RAT DN101137|c0_g1
DN101138|c0_g1	DN101138|c0_g1
DN101139|c0_g1	SYNC_BOVIN DN101139|c0_g1
DN101143|c0_g1	DN101143|c0_g1
DN101150|c0_g1	DN101150|c0_g1
DN101151|c0_g1	TMX1_HUMAN DN101151|c0_g1
DN101154|c0_g1	DN101154|c0_g1
DN101157|c0_g1	F163B_XENTR DN101157|c0_g1
DN101166|c0_g1	DN101166|c0_g1
DN101175|c0_g2	DN101175|c0_g2
DN101177|c0_g1	BAT1_RABIT DN101177|c0_g1
DN101179|c0_g1	Y2094_XANCP DN101179|c0_g1
DN101181|c0_g1	MMAD_RAT DN101181|c0_g1
DN101187|c0_g1	DN101187|c0_g1
DN101190|c0_g1	DN101190|c0_g1
DN101194|c0_g1	MGST3_MOUSE DN101194|c0_g1
DN101195|c0_g1	DN101195|c0_g1
DN101198|c0_g1	CBX1_MOUSE DN101198|c0_g1
DN101198|c0_g2	CBX1_MOUSE DN101198|c0_g2
DN101201|c0_g1	DN101201|c0_g1
DN101211|c0_g1	EMIL3_MOUSE DN101211|c0_g1
DN101213|c0_g1	CCD40_MOUSE DN101213|c0_g1
DN101216|c0_g1	EI3JA_DANRE DN101216|c0_g1
DN101222|c0_g1	OSBP2_HUMAN DN101222|c0_g1
DN101223|c0_g1	ACHA2_CHICK DN101223|c0_g1
DN101223|c0_g2	ACHA3_CARAU DN101223|c0_g2
DN101225|c0_g1	PRP39_DROME DN101225|c0_g1
DN101236|c0_g1	ARSG_RAT DN101236|c0_g1
DN101240|c0_g1	CENPJ_HUMAN DN101240|c0_g1
DN101248|c0_g1	DN101248|c0_g1
DN101253|c0_g2	KLD7A_MOUSE DN101253|c0_g2
DN101255|c0_g1	ASPM_PONPY DN101255|c0_g1
DN101256|c0_g1	DN101256|c0_g1
DN101258|c0_g1	DN101258|c0_g1
DN101261|c0_g1	DN101261|c0_g1
DN101264|c0_g1	RBM23_HUMAN DN101264|c0_g1
DN101268|c0_g1	DN101268|c0_g1
DN101272|c0_g1	DN101272|c0_g1
DN101274|c0_g1	DN101274|c0_g1
DN101275|c0_g1	ARMC6_MOUSE DN101275|c0_g1
DN101276|c0_g1	HSP7C_RAT DN101276|c0_g1
DN101279|c0_g1	ST32C_HUMAN DN101279|c0_g1
DN101282|c0_g1	DN101282|c0_g1
DN101283|c0_g1	PSA6_DROME DN101283|c0_g1
DN101304|c0_g1	INK1B_DANRE DN101304|c0_g1
DN101308|c0_g1	CDPKN_ARATH DN101308|c0_g1
DN101309|c0_g2	S38AB_DANRE DN101309|c0_g2
DN101323|c0_g1	CATF_HUMAN DN101323|c0_g1
DN101330|c0_g1	SDHA_DANRE DN101330|c0_g1
DN101330|c0_g2	SDHA_DANRE DN101330|c0_g2
DN101332|c0_g1	TS101_HUMAN DN101332|c0_g1
DN101332|c0_g2	TS101_MOUSE DN101332|c0_g2
DN101344|c0_g1	ATG2B_MOUSE DN101344|c0_g1
DN101346|c0_g1	SODE_MOUSE DN101346|c0_g1
DN101348|c0_g1	DUT_HUMAN DN101348|c0_g1
DN101348|c0_g2	LIS1_SCHMA DN101348|c0_g2
DN101350|c0_g1	SERIC_NEMVE DN101350|c0_g1
DN101354|c0_g1	NPY2R_CHICK DN101354|c0_g1
DN101357|c0_g1	ABCE1_MOUSE DN101357|c0_g1
DN101358|c0_g2	DN101358|c0_g2
DN101359|c0_g1	CLPP_MOUSE DN101359|c0_g1
DN101361|c0_g1	COA7_DROME DN101361|c0_g1
DN101362|c0_g1	DN101362|c0_g1
DN101364|c0_g1	G6PC_FELCA DN101364|c0_g1
DN101365|c0_g1	DN101365|c0_g1
DN101373|c0_g2	B3GT1_PONPY DN101373|c0_g2
DN101374|c0_g1	FBCD1_HUMAN DN101374|c0_g1
DN101377|c0_g1	CANA_DROME DN101377|c0_g1
DN101379|c0_g1	DN101379|c0_g1
DN101380|c0_g1	SPTC2_RAT DN101380|c0_g1
DN101385|c0_g1	TPM_BRABE DN101385|c0_g1
DN101387|c0_g1	DN101387|c0_g1
DN101388|c0_g1	DI3L1_DANRE DN101388|c0_g1
DN101392|c0_g1	RNF38_MOUSE DN101392|c0_g1
DN101414|c0_g1	PHF5A_RAT DN101414|c0_g1
DN101415|c0_g1	DN101415|c0_g1
DN101419|c0_g1	SUCA_COLLI DN101419|c0_g1
DN101426|c0_g1	SPTCB_DROME DN101426|c0_g1
DN101426|c0_g2	DN101426|c0_g2
DN101427|c0_g1	FHL2_MOUSE DN101427|c0_g1
DN101430|c0_g1	CNBP_CHICK DN101430|c0_g1
DN101436|c0_g1	MTA1_RAT DN101436|c0_g1
DN101436|c0_g2	MTA1_HUMAN DN101436|c0_g2
DN101438|c0_g1	DN101438|c0_g1
DN101440|c1_g1	DN101440|c1_g1
DN101446|c0_g1	GFRA1_MOUSE DN101446|c0_g1
DN101447|c0_g1	LIN1_NYCCO DN101447|c0_g1
DN101453|c0_g1	KKCC1_HUMAN DN101453|c0_g1
DN101454|c0_g1	DN101454|c0_g1
DN101457|c0_g1	DN101457|c0_g1
DN101460|c0_g1	RAB6_DROME DN101460|c0_g1
DN101461|c0_g1	YIA3_RHISP DN101461|c0_g1
DN101462|c0_g1	DN101462|c0_g1
DN101463|c0_g1	DN101463|c0_g1
DN101465|c0_g1	SORCN_SCHJA DN101465|c0_g1
DN101466|c0_g1	DN101466|c0_g1
DN101467|c0_g1	DN101467|c0_g1
DN101468|c0_g2	HEXB_MOUSE DN101468|c0_g2
DN101473|c0_g1	DN101473|c0_g1
DN101476|c0_g1	DRE2_SCHJA DN101476|c0_g1
DN101477|c0_g1	DN101477|c0_g1
DN101478|c0_g1	FAAH1_PIG DN101478|c0_g1
DN101482|c0_g1	EFHC2_DANRE DN101482|c0_g1
DN101486|c0_g1	MLP3C_HUMAN DN101486|c0_g1
DN101487|c0_g1	NGB_TETNG DN101487|c0_g1
DN101492|c0_g1	TCF21_DANRE DN101492|c0_g1
DN101492|c0_g2	TCF21_DANRE DN101492|c0_g2
DN101493|c0_g1	SCAM2_HUMAN DN101493|c0_g1
DN101494|c0_g1	CATL1_MOUSE DN101494|c0_g1
DN101501|c0_g1	LMLN_MOUSE DN101501|c0_g1
DN101502|c0_g1	VC04_SWPVK DN101502|c0_g1
DN101504|c0_g1	BCR_HUMAN DN101504|c0_g1
DN101517|c0_g1	MPRIP_MOUSE DN101517|c0_g1
DN101522|c0_g1	DN101522|c0_g1
DN101537|c0_g1	GALC_MACMU DN101537|c0_g1
DN101539|c0_g1	DN101539|c0_g1
DN101542|c0_g1	FABPL_GINCI DN101542|c0_g1
DN101545|c0_g1	SEC62_CANGA DN101545|c0_g1
DN101548|c0_g1	TCIM_MOUSE DN101548|c0_g1
DN101554|c0_g1	SCND3_HUMAN DN101554|c0_g1
DN101557|c0_g1	VIT1_FUNHE DN101557|c0_g1
DN101559|c0_g1	ATS14_HUMAN DN101559|c0_g1
DN101563|c0_g1	OSBP2_HUMAN DN101563|c0_g1
DN101566|c0_g1	DN101566|c0_g1
DN101567|c0_g1	CJ090_HUMAN DN101567|c0_g1
DN101570|c0_g1	DN101570|c0_g1
